,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
AMVETS,, ,,,,PO BOX 533 ,CARLISLE,72024,,"Provide support for Post 12 Provide support fot the AR Department of Ameican Veterans Provide Recreation and Entertainment for patients at Fort Roots VA Hosp

Provide support for Post 12 Provide support fot the AR Department of Ameican Veterans Provide Recreation and Entertainment for patients at Fort Roots VA Hosp Estimated number attending were 70 each month.",34.7831469,-91.7465235,71-0834018,AR
AMVETS,, ,,,,AMVETS POST AR 0049 % JULIUS JAMES KOVACS,EUREKA SPRINGS,72632,,"

",0.0,0.0,20-2450168,AR
NEWTON COUNTY FAMILY RESOURCE CENTER INC,, ,,,,PO BOX 185 ,JASPER,72641,,"Support services for families

Programs benefit low-income families in Newton County, AR",36.0081324,-93.18656589999999,71-0814650,AR
LEE COUNTY COMMUNITY COALIATION,, ,,,,593 HIGHWAY 243 ,MARIANNA,72360,,"ORGANIZATION WAS FORMED TO ADDRESS NEEDS OF CHILDREN AND FAMILIES IN AND AROUND LEE COUNTY ARKANSAS. FOCUS IS ON PROMOTING HEALTHY FAMILY LIFESTYLES AND IMPROVING HEALTH

IMPROVE THE HEATH, EDUCATION, FAMILY LIFESTYLE OF CHILDREN AND FAMILIES IN AND AROUND LEE COUNTY, AR",34.7154391,-90.78100040000001,71-0781281,AR
PROFESSIONAL COUNSELING ASSOCIATES INC,, ,,,WWW.PCA-AR.ORG,PO BOX 15968 ,LITTLE ROCK,72231,,"TO OFFER PATHWAYS TO WHOLENESS, HEALING AND HOPE THROUGH CARING AND EFFECTIVE MENTAL HEALTH SERVICES WE HELP MAKE OUR COMMUNITY HEALTHIER, SAFER AND MORE PRODUCTIVE BY IMPROVING THE LIVES OF PEOPLE WE SERVE, HELPING INDIVIDUALS AND FAMILIES BUILD ON THEIR OWN STRENGTHS, AND BY SUPPORTING THE WORK OF OTHER CAREGIVERS AND SERVICE PROVIDERS

PROFESSIONAL COUNSELING ASSOCIATES (PCA) PROVIDES MENTAL HEALTH CARE FOR LOWER INCOME & ELDERLY PEOPLE",0.0,0.0,71-0479416,AR
HAVEN OF NORTH EAST AR INC,, ,,,,PO BOX 205 ,BLYTHEVILLE,72316,,"CHARITABLE

PROVIDED SHELFTER, COUNSELING AND OTHER ASSISTANCE TO VICTIMS OF DOMESTICE VIOLENCE",35.9323808,-89.9068219,71-0820201,AR
JACKSONVILLE CARE CHANNEL FOR THE NEEDY INC,, ,,,,PO BOX 6445 ,JACKSONVILLE,72078,,"To provide for Needy

Assistance to the needy of Jacksonville, AR, by providing food, clothing, lodging, medicine, utilities and other basic needs",0.0,0.0,71-0711301,AR
WINSLOW COMMUNITY MEALS INC,, ,,,,1057 ELLA RD % ARLEN DAVIDIAN,WINSLOW,72959,,"PROVIDE MEALS FOR THE NEEDY

DELIVER MEALS TO HOMEBOUND NEAR WINSLOW AR. SERVE COMMUNITY MEALS FOR THE NEEDY. TRANSPORT AREA RESIDENTS WHO ARE UNABLE TO FIND TRANSPORTATION TO MEDICAL AND OTHER.",35.8009145,-94.1349259,43-1980752,AR
BUFFALO SOLDIERS AND TROOPERS MOTORCYCLE CLUB OF LITTLE ROCK AR,, ,,,,8 SOBRESALIR LN ,HOT SPRINGS,71909,,"

",34.64015,-92.85071599999999,11-3804953,AR
COUNSELING SERVICES OF EASTERN ARKANSAS,, ,,,WWW.MSHS.ORG,2707 BROWNS LN ,JONESBORO,72401,,"TO PROVIDE COMPREHENSIVE, ACCESSIBLE, AFFORDABLE, & QUALITY-DRIVEN MENTAL HEALTH SERVICES, WHICH INCLUDE OUTPATIENT TREATMENT, ADULT & CHILD CASE MANAGEMENT, COMMUNITY BASED REHAB & CRISIS INTERVENTION SERVICES, TO PROMOTE INDIVIDUAL WORTH & DIGNITY

TO ADDRESS THE NEEDS OF THE MENTALLY ILL IN NORTHEAST, AR THROUGH OUTPATIENT SERVICES DURING THE FISCAL YEAR ENDED 6/30/10, THIS PROGRAM SERVED 4,670 PEOPLE",35.8121099,-90.688462,71-0810346,AR
