,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
OK Regional Service Office,, ,,,,PO Box 1319 ,Seminole,74818,,"

",35.22,-96.67,73-1331876,OK
GREEN COUNTRY BEHAVIORAL HEALTH SERVICES INC,, ,,,WWW.GCBHS.ORG,619 NORIH MAIN ,MUSKOGEE,74401,,"MAINTAIN AND DIRECT COMPREHENSIVE MENTAL HEALTH SERVICES FOR INDIVIDUALS IN SEVERAL COUNTIES IN OKLAHOMA; ADMINISTER MUSKOGEE, OK HEAD START PROGRAM

MENTAL HEALTH SERVICES",0.0,0.0,73-1084521,OK
COMMUNITY AIDS NETWORK STILLWATER OK INC,, ,,,,PO Box 282 ,Stillwater,74076,,"

",36.1133016,-97.0572308,73-1381796,OK
AMERICAN LEGION,, ,,,,833 SE 172ND RD ,WILBURTON OK 74578-7,74578,,"

",47.6175829,-122.1115823,73-6102290,OK
FAMILY AND CHILDRENS SERVICE INC ENDOWMENT TRUST,, ,,,,PO Box 3348 ,Tulsa,74101,,"

Net income of $61,909.56 distributed to Family & Children's Services, Inc., Tulsa, OK (a United Way agency) for operating expenses.",36.379129,-95.72942499999999,73-1309273,OK
ROHI MINISTRY IN,, ,,,,PO BOX 463 % MARTHA SUMMERS,SULPHUR,73086,,"Hauling food items to faith-based organizations that distribute food items to those in need.

Like-kind income Food items donated by Feed the Children - Oklahoma City, OK",34.5078669,-96.9683498,30-0140831,OK
VETERANS OF FOREIGN WARS DEPT OF OK,, ,,,,PO BOX 651 ,DUNCAN,73534,,"

",0.0,0.0,73-1278585,OK
Tulsa Boys Home,mlail@tbhinc.org,Michael Lail,,communications director,www.tulsaboyshome.org,"PO Box 1101 2727 S 137th W Ave Sand Springs, OK, 74063",Tulsa,74101,,"The mission of Tulsa Boys'' Home is to provide the hightest quality residential care for young boys needing placement outside their home for the purpose of develoing well-adjusted, responsible adults and strengthening the family.

GROUP CARE-PROVIDE A FULL RANGE OF SOCIAL AND EDUCATIONAL SERVICES TO BOYS AND THEIR FAMILIES EXPERIENCING SOCIAL AND EMOTIONAL CONFLICTS IN A RESIDENTIAL FACILITY.",0.0,0.0,73-0579242,OK
MOMS CLUB OF OKLAHOMA CITY-NW OK,, ,,,,3017 HICKORY STICK RD % CHESLEE W OSBORN,OKLAHOMA CITY,73120,,"

",35.578861,-97.5788975,55-0879137,OK
OK TO SHARE MINISTRY INC,, ,,,,515 S CHESTNUT ST ,HOLDENVILLE,74848,,"

",35.0830212,-96.40952759999999,27-0132117,OK
CHRISTMAS CONNECTION INC,christmasconnection@hotmail.com,Valerie Finley,,Executive Director,www.christmasconnection.org,P.O. Box 891020 ,Oklahoma City,73189,,"To treat those in need dignity and respect by giving them the opportunity to personally select items for Christmas, education and daily living.

OPERATION OF A STORE IN OKLAHOMA CITY, OK TO PROVIDE FOOD, CLOTHING, AND TOYS TO ECONOMICALLY DISADVANTAGED FAMILIES AND SENIOR CITIZENS.",35.6033957,-97.6521957,73-1223908,OK
HARBOR OF MIAMI OK INC,, ,,,,PO BOX 1456 % PHIL SHYERS,MIAMI,74355,,"

",36.8752027,-94.87632830000001,02-0669208,OK
YOUNG WOMENS CHRISTIAN ASSOCIATION,, ,,,,103 N OSAGE ,BARTLESVILLE,74003,,"PROVIDE ACTIVITIES FOR YOUNG WOMEN

ENDEAVORS TO INCREASE OPPORTUNITIES FOR WOMEN AND YOUTH TO DEVELOP THEIR POTENTIAL THROUGH PROGRAMS ADDRESSING THEIR NEEDS IN THE AREAS OF PERSONAL GROWTH AND DEVELOPMENT, EMOTIONAL AND PHYSICAL HEALTH, SOCIAL SUPPORT AND SPIRITUAL ENRICHMENT THE FOUR CORE PROGRAMS OF THE YWCA ARE MAMMOGRAMS, VISION SCREENING, HOME ALONE & OK, AND EVERYONE'S RESOURCE CENTER.",0.0,0.0,73-0579297,OK
NATIONAL HEADQUARTERS OF THE MILITARY RETIREES COALITION OK INC,, ,,,,PO BOX 6254 ,LAWTON,73506,,"

",0.0,0.0,73-1487649,OK
CHRISTIAN FAMILY COUNSELING CENTER INC,, ,,,,3801 NW CACHE RD STE 44 ,LAWTON OK 73505-3742,73505,,"The mission of the Christian family counseling center is to restore, educate, and strengthen people through professional mental health services that integrate a gracious Christian perspective wtih psychological principles, striving to help those in need regardless of their ability to pay.

Helped over 3,000 people. Provided 1,579 hours of professional counseling to individuals, couples and families who were uninsured and low income at Reduced Fees based on a sliding scale. provided 1,044 hours of professional counseling services to individuals, couples and families who were uninsured and low income at No Fee. Also provided 4,594 hours of professional counseling services to individuals, couples and families at standard fees and insurance reimbursable rates.",34.621372,-98.448837,73-1261086,OK
NATIONAL GUARD ASSOCIATION OF OK SCHOLARSHIP FOUNDATION INC,, ,,,,6500 N KELLEY AVE ,OKLAHOMA CITY,73111,,"

",35.5394159,-97.492803,73-1479190,OK
CAVETT KIDS FOUNDATION,, ,,,www.cavettkidsfoundation.org,1200 EVERETT DR RM 2311ET % DANNY CAVETT,OKLAHOMA CITY,73104,,"To provide a forum of support through camps, events, and programs for children with life-threatening and chronic illnesses while promoting character, coping skills and connection. The organization whall foster greater understanding conceming the illness and suffering of children and provide resource information to individuals and families.

Camp Cavett Summer Camp: Hosted a five day summer camp at Camp Crosspoint in Kingston, OK on Lake Texoma. Over 150 children were managed by our 200 volunteers, 45 of which were medical personnel. A variety of activities were available for the children to participate in according to their medical conditions. All costs of transportation, food, and lodging were pald. Self-worth, confidence, character, coping skills, connection and wellness were promoted.",0.0,0.0,20-2025503,OK
SOCIETY OF ST VINCENT DE PAUL ARCHDIOCESAN COUNCIL OF OK CITY,, ,,,WWW.STVINCENTDEPAULOKC.ORG,3031 NW 23RD ST % PATRICIA YARDLEY,OKLAHOMA CITY,73107,,"A CATHOLIC LAY ORGANIZATION, LEADING MEN AND WOMEN TO JOIN TOGETHER TO GROW SPIRITUALLY BY OFFERING PERSON-TO-PERSON SERVICE TO THOSE WHO ARE NEEDY AND SUFFERING, INCLUDING MAKING HOME VISITS AND OPERATING THRIFT STORES.

AIDING LOCAL CITIZENS IN NEED OF EMERGENCY ASSISTANCE WITH UTILITIES, RENT, FOOD",0.0,0.0,73-1304120,OK
OPPORTUNITIES INDUSTRIALIZATION CENTER OF OKLAHOMA COUNTY INC,, ,,,www.oicofoklahomacounty.org,400 N WALNUT AVE ,OKLAHOMA CITY,73104,,"Eduational and training services

Organization provides educational and training services to adults and youth, including Adult Baslc Education, literacy for non-readers, GED preparation, life skills, computer training, and employment skills. Services are performed in Okla. City, OK. Students recruited-207, in-take-142, and enrolled - 102.",35.4708753,-97.5087606,73-0753216,OK
STILLWATER MOBILE MEALS,, ,,,,1323 W 6TH AVE ,STILLWATER,74074,,"PROVIDING MEALS TO MEDICALLY HOMEBOUND PEOPLE.

MOBILE MEALS PROVIDES MEALS TO THE CONVALESCING, ELDERLY, AND HOMEBOUND PERSONS IN THE STILLWATER, OK COMMUNITY TO ALLOW THE INDIVIDUALS TO MAINTAIN THEIR INDEPENDENCE AND CONTINUE TO LIVE IN THEIR HOMES FOR AS LONG AS POSSIBLE. PROVIDED 23,319 MEALS TO 178 DIFFERENT CLIENTS. 5,737 OF THESE MEALS WERE SUBSIDIZED DUE TO THE CLIENTS LACK OF INCOME TO PAY. 9 INDIVIDUALS WORKED A TOTAL OF 243 COMMUNITY SERVICE HOURS. HOSTED THE STILLWATER LEADERSHIP TOMORROW CLASS OF 26 STUDENTS AND 2 LEADERS.",0.0,0.0,73-1337911,OK
Veterans Research Foundation,carol-estrella@ouhsc.edu,Carol Estrella,,Executive Director,,921 NE 13th St ,Oklahoma City,73104,,"The nationwide VA system has a long history of conducting major research programs that have contributed to state-of-the art care for our veteran population.  While serving our veterans we have benefited all mankind by sharing our research successes.  Congress, by passing Public Law 100-322, has provided us the opportunity to accept gifts, grants, and enter into contracts with individuals and public or private entities solely to support approved research at the Oklahoma City VA Medical Center.

Facilitate research projects at the OKC VA Medical Center",35.483257,-97.495722,73-1363705,OK
AMVETS,, ,,,,1023 TIMBERLINE DR % THOMAS E MURPHY,DURANT,74701,,"

",0.0,0.0,73-1511952,OK
CIVITAN INTERNATIONAL,, ,,,,8900 HIGHWAY 16 W % LEORA GARRISON,MUSKOGEE,74401,,"

",0.0,0.0,73-6096901,OK
NATIONAL ASSOCIATION OF RETIRED & VETERAN RAILWAY EMPLOYEES,, ,,,,8316 NW 99TH ST ,OKLAHOMA CITY,73162,,"

",35.571154,-97.66287400000002,52-1898360,OK
THE URBAN MISSION INC,grants4pum@yahoo.com,Jamee Boucher,,,,3737 N. Portland Ave. ,Oklahoma City,73112,,"Giving help today for hope of a better tomorrow.

",35.509298,-97.584255,73-1229527,OK
SONS OF UNION VETERANS OF THE CIVIL WAR,, ,,,,6120 E 76TH ST % ALLEN CARL FALLEN PAST DEPT CMNDR,TULSA,74136,,"

",36.0613546,-95.9515399,26-0083022,OK
